Age Mya,dC,Age kya,Age kya compressed,Plotting Age
567.6599907,-7.73,567659,217137,2808
567.5613742,-8.14,567561,217099,2846
567.4362071,-8.67,567436,217052,2893
567.4286212,-8.56,567428,217048,2897
567.3641411,-8.3,567364,217024,2921
567.2541458,-7.99,567254,216982,2963
567.1593222,-8.11,567159,216946,2999
567.102428,-7.76,567102,216924,3021
566.9810539,-8.17,566981,216877,3068
566.9279526,-8.39,566927,216857,3088
566.8748514,-8.38,566874,216837,3108
566.5903807,-7.78,566590,216728,3217
566.4045265,-8.48,566404,216657,3288
565.9721309,-9,565972,216492,3453
565.5321495,-8.94,565532,216323,3622
565.1073398,-9.12,565107,216161,3784
565.0580316,-8.82,565058,216142,3803
564.5649489,-8.99,564564,215953,3992
564.1363463,-8.71,564136,215789,4156
563.9011838,-8.9,563901,215699,4246
563.153974,-8.04,563153,215413,4532
563.0970799,-8.07,563097,215392,4553
561.9364392,-7.99,561936,214948,4997
560.7606267,-6.96,560760,214498,5447
560.7037326,-8.11,560703,214476,5469
559.6796379,-7.57,559679,214084,5861
558.799675,-8.19,558799,213748,6197
558.7845032,-6.82,558784,213742,6203
558.6100279,-8.17,558610,213675,6270
558.0600511,-6.66,558060,213465,6480
558.0297075,-7.93,558029,213453,6492
557.4683519,-7.87,557468,213239,6706
557.396286,-6.43,557396,213211,6734
556.0080687,-7.68,556008,212680,7265
554.3277948,-7.81,554327,212037,7908
553.709545,-3.89,553709,211801,8144
553.6792015,-7.27,553679,211789,8156
553.1140529,-4.38,553114,211573,8372
552.2340901,-5.05,552234,211237,8708
551.0848282,-3.05,551084,210797,9148
551.0506917,-0.66,551050,210784,9161
551.0013835,-0.84,551001,210765,9180
550.7813928,-1.05,550781,210681,9264
550.7207057,-0.34,550720,210657,9288
550.1138347,0.74,550113,210425,9520
550.0834912,1.4,550083,210414,9531
549.9659099,1.64,549965,210369,9576
549.2035283,1.21,549203,210077,9868
548.8280269,1.83,548828,209934,10011
547.4777391,2.82,547477,209417,10528
546.9543129,1.66,546954,209217,10728
545.6685051,2.53,545668,208725,11220
545.6571263,1.77,545657,208721,11224
545.6419545,2.87,545641,208715,11230
545.6381616,1.5,545638,208713,11232
545.6191968,1.7,545619,208706,11239
545.5850604,1.15,545585,208693,11252
543.6961746,-0.32,543696,207971,11974
543.5141133,1.87,543514,207901,12044
541.2838626,5.2,541283,207048,12897
540.9918059,7.13,540991,206936,13009
540.9424977,4.84,540942,206917,13028
540.7452646,4.83,540745,206842,13103
540.0056407,5.13,540005,206559,13386
539.315325,4.8,539315,206295,13650
539.2698097,5.31,539269,206277,13668
538.4163974,4.91,538416,205951,13994
537.2064485,5.1,537206,205488,14457
536.5919916,4.97,536591,205253,14692
536.5426834,4.9,536542,205234,14711
534.8396518,4.56,534839,204583,15362
534.8055153,4.06,534805,204570,15375
533.1214485,4.11,533121,203926,16019
533.083519,3.84,533083,203911,16034
531.5208264,4.64,531520,203313,16632
531.5132405,4.1,531513,203310,16635
530.9518849,4.31,530951,203096,16849
530.6332776,4.12,530633,202974,16971
